#  trailing_flap_deflection                       alpha                         Rey                        Mach                          CL                          CD                          Cm 
            -0.349065850399             -0.279252680319       42608612.258563876152              0.595998748118             -5.305897000000              2.021685416842              1.370189256095 
            -0.349065850399             -0.279252680319       45652084.562747009099              0.638570087269             -4.672171000000              1.796152850554              1.213740558023 
            -0.349065850399             -0.279252680319       48695556.866930149496              0.681141426420             -4.127476000000              1.599805628135              1.082692480908 
            -0.349065850399             -0.279252680319       51739029.171113282442              0.723712765571             -3.700104000000              1.454773937127              0.982551590436 
            -0.349065850399             -0.279252680319       54782501.475296415389              0.766284104723             -3.367577000000              1.341867087586              0.914187043675 
            -0.349065850399             -0.279252680319       57825973.779479555786              0.808855443874             -3.117713000000              1.257075865510              0.861597610172 
            -0.349065850399             -0.279252680319       60869446.083662688732              0.851426783025             -2.897147000000              1.176266901447              0.815639432823 
            -0.349065850399             -0.279252680319       63912918.387845836580              0.893998122176             -2.719483000000              1.108536286284              0.781195091605 
            -0.349065850399             -0.279252680319       32148879.993902429938              0.595998748118             -5.305676000000              2.020954981300              1.370185369009 
            -0.349065850399             -0.279252680319       34445228.564895458519              0.638570087269             -4.671949000000              1.795811290402              1.213728792673 
            -0.349065850399             -0.279252680319       36741577.135888494551              0.681141426420             -4.127358000000              1.599519899639              1.082682360093 
            -0.349065850399             -0.279252680319       39037925.706881523132              0.723712765571             -3.700317000000              1.454805041194              0.982525383014 
            -0.349065850399             -0.279252680319       41334274.277874551713              0.766284104723             -3.372898000000              1.344704170448              0.914711530212 
            -0.349065850399             -0.279252680319       43630622.848867580295              0.808855443874             -3.106317000000              1.251178105193              0.858165545149 
            -0.349065850399             -0.279252680319       45926971.419860616326              0.851426783025             -2.907236000000              1.181429609663              0.816221468281 
            -0.349065850399             -0.279252680319       48223319.990853644907              0.893998122176             -2.753428000000              1.125576707406              0.782601144542 
            -0.349065850399             -0.279252680319       20259492.859020721167              0.595998748118             -5.305129000000              2.020025002390              1.370176557273 
            -0.349065850399             -0.279252680319       21706599.491807911545              0.638570087269             -4.671501000000              1.795201297262              1.213706683952 
            -0.349065850399             -0.279252680319       23153706.124595109373              0.681141426420             -4.126851000000              1.598754671299              1.082664111683 
            -0.349065850399             -0.279252680319       24600812.757382299751              0.723712765571             -3.701196000000              1.455177827101              0.982478278263 
            -0.349065850399             -0.279252680319       26047919.390169497579              0.766284104723             -3.358402000000              1.336969316683              0.915858527478 
            -0.349065850399             -0.279252680319       27495026.022956691682              0.808855443874             -3.095567000000              1.245429087743              0.858929963485 
            -0.349065850399             -0.279252680319       28942132.655743885785              0.851426783025             -2.918414000000              1.187287297407              0.817582267365 
            -0.349065850399             -0.279252680319       30389239.288531087339              0.893998122176             -2.748768000000              1.123320133077              0.783547527087 
            -0.349065850399             -0.279252680319       13293039.930796202272              0.595998748118             -5.304603000000              2.019143816667              1.370163756737 
            -0.349065850399             -0.279252680319       14242542.782995928079              0.638570087269             -4.670918000000              1.794532155431              1.213683626636 
            -0.349065850399             -0.279252680319       15192045.635195657611              0.681141426420             -4.126335000000              1.598079568142              1.082641976475 
            -0.349065850399             -0.279252680319       16141548.487395385280              0.723712765571             -3.702075000000              1.455572903291              0.982429601920 
            -0.349065850399             -0.279252680319       17091051.339595116675              0.766284104723             -3.367236000000              1.341599055688              0.917275649618 
            -0.349065850399             -0.279252680319       18040554.191794846207              0.808855443874             -3.100492000000              1.248252185245              0.859676337692 
            -0.349065850399             -0.279252680319       18990057.043994572014              0.851426783025             -2.909253000000              1.182645046137              0.819375417452 
            -0.349065850399             -0.279252680319       19939559.896194301546              0.893998122176             -2.741585000000              1.119378682552              0.779386787186 
            -0.349065850399             -0.279252680319        7116817.070259068161              0.595998748118             -5.303744000000              2.017699386736              1.370135796190 
            -0.349065850399             -0.279252680319        7625161.146706142463              0.638570087269             -4.669852000000              1.793425251867              1.213642553410 
            -0.349065850399             -0.279252680319        8133505.223153218627              0.681141426420             -4.125262000000              1.597016055817              1.082599625725 
            -0.349065850399             -0.279252680319        8641849.299600295722              0.723712765571             -3.703950000000              1.456568942475              0.982341871098 
            -0.349065850399             -0.279252680319        9150193.376047372818              0.766284104723             -3.358294000000              1.336856304306              0.914749836606 
            -0.349065850399             -0.279252680319        9658537.452494448051              0.808855443874             -3.117395000000              1.257902488835              0.862184774309 
            -0.349065850399             -0.279252680319       10166881.528941525146              0.851426783025             -2.903977000000              1.180260381843              0.816871854253 
            -0.349065850399             -0.279252680319       10675225.605388600379              0.893998122176             -2.752506000000              1.125381389221              0.779687849826 
            -0.349065850399             -0.279252680319        3997785.507853521500              0.595998748118             -5.302831000000              2.016237020207              1.370095972037 
            -0.349065850399             -0.279252680319        4283341.615557342768              0.638570087269             -4.668657000000              1.792333801551              1.213595270971 
            -0.349065850399             -0.279252680319        4568897.723261166364              0.681141426420             -4.124232000000              1.595916383020              1.082549778772 
            -0.349065850399             -0.279252680319        4854453.830964989960              0.723712765571             -3.678079000000              1.440771872167              0.976460980657 
            -0.349065850399             -0.279252680319        5140009.938668812625              0.766284104723             -3.360014000000              1.337622801029              0.916758972541 
            -0.349065850399             -0.279252680319        5425566.046372636221              0.808855443874             -3.100055000000              1.248888390512              0.859858484479 
            -0.349065850399             -0.279252680319        5711122.154076457955              0.851426783025             -2.906620000000              1.182045061804              0.819124073944 
            -0.349065850399             -0.279252680319        5996678.261780281551              0.893998122176             -2.778826000000              1.140230346309              0.786533466017 
            -0.349065850399             -0.279252680319        2215542.825133765582              0.595998748118             -5.301998000000              2.014690681841              1.370044454655 
